company_name,job_title,city,company_location,salary,snippet
Cognizant Technology Solutions,Software Engineer Sr Associate,Naperville, IL 60540,,"Skill sets: Java/J2EE Spring Framework, Spring Boot, Spring Cloud Micro Services Architecture REST API development Apache Tomcat Git, Jenkins, Maven or similar…"
Mission Cloud Services,IT Specialist,Remote,Remote,,Suggest process improvement based off metrics and analytics to provide the best experience for our teammates.Life insurance paid by Mission.
ZEISS Group,Staff Software Engineer - Device Application,Dublin, CA 94568,,"May need to function as software lead on projects, responsible for coordinating the software develop effort with other team members and the deliverables for…"
BioBright,Senior Software Engineer,Boston, MA 02116 (South End area),,"Experience mentoring and leading software developers.We work with cloud-based data storage, data analytics, computer vision, voice control technology, sensors,…"
SMS group Inc,Software Developer,Pittsburgh, PA 15212,,Familiarity with Agile software development methodology.Experience building software components and applications using Object-Oriented principles and up-to…
Deloitte,Unified Communications Specialist,Houston, TX 77002 (Downtown area),,"Be accountable for system management while following established standards, ensuring the UC platform is reliable, monitor the support systems for incidents and…"
Aeris Communications,Software Engineer - Automotive,Chicago, IL 60654 (Loop area),,"3-5+ years of customer facing experience with hands-on core java development and related tools.Conduct works with a high level of self-accountability, skills…"
Diligent Consulting Inc,Sr Software Engineer,Remote,Utah,,Must be experienced developing software in structured environment using CMMI level 3 standards.Provide technical assistance to Help Desk personnel and project…
JB Hunt,Software Engineer III,Lowell, AR,,"J.B. Hunt is building an entirely new platform to enable their internal and external potential.This position documents programs, develops and implements new…"
U.S. Army,Information Technology Specialist,San Diego, CA 92123 (Kearny Mesa area),"$30,000 - $60,000 a year","Maintenance of networks, hardware and software.FULL AND PART TIME POSITIONS OPEN.MUST ENLIST IN THE U.S. ARMY!!!!Construct, edit and test computer programs."
"Agile5 Technologies, Inc.",Software Developers - All Levels,Huntsville, AL 35808,,Troubleshoots issues or problems related to software applications.Consults with project teams and end users to identify software requirements.
GD Technology inc,Software Developer,Miami, FL 33155,"$50,000 - $80,000 a year","Experience .net core/web api,.Experience Model View View Model (MVVM) y ReactiveUI,.Experience with Visual Studio, Visual Studio Code, and Source Control…"
Rover Resources,Oracle EBS Functional Supply Chain Management Consultant,Remote,Remote,$90 - $115 an hour,"Oracle EBS Supply Chain Management Functional Consultant*.At least 2 implementation projects.Job Types: Full-time, Contract.Oracle EBS: 5 years (Preferred)."
First Orion,"Director, Software Data Engineering",Remote,Arkansas,,Developing Apache Spark applications to create big data pipelines for various applications.2+ years of experience in Apache Spark or other big data engines.
MatrixCare,Clinical Support Specialist,Peachtree Corners, GA,,"Tech savvy working with computers, internet browsers, and software applications.Ability to solve clinical problems on an innovative home health & hospice…"
Zynga,Principal Software Engineer - Game of Thrones Slots,Chicago, IL,,"6+ years of software development experience.Deep understanding of algorithms, design patterns, debugging and performance optimization."
Veritas Technologies,Princ Software Engineer (REMOTE ELIGIBLE),Santa Clara, CA,,"The Data Protection Group drives the product strategy, roadmap, and engineering delivery of the Veritas products, which includes NetBackup, APTARE, Backup Exec,…"
